product_id,company_id,product_name,category,subcategory,description,launch_date,price,cost,rating,total_sales,return_rate,lifecycle_stage,status
P0001,C001,Smart Watch 1,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-01-21,49598,26411.37,3.6,97030,0.024,Introduction,Discontinued
P0002,C001,Smart Watch 2,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2026-01-06,7140,3681.32,4.1,3978,0.089,Decline,Active
P0003,C001,Smart Light 3,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2023-11-28,19231,13323.8,3.2,21426,0.108,Mature,Active
P0004,C001,Headphones 4,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2022-03-30,7698,3678.29,3.4,45582,0.095,Decline,Active
P0005,C001,Air Purifier 5,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2025-12-13,37178,20000.03,4.3,47900,0.091,Introduction,Active
P0006,C001,Headphones 6,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2025-07-25,6229,4401.38,4.7,50323,0.049,Mature,Active
P0007,C001,Tablet 7,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2025-06-01,14730,9590.0,4.4,90093,0.101,Growth,Active
P0008,C001,Headphones 8,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2025-11-03,25867,13734.97,4.8,90698,0.088,Mature,Active
P0009,C001,Wireless Earbuds 9,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2023-10-07,21673,12361.18,3.3,74841,0.133,Growth,Discontinued
P0010,C001,Smart Light 10,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2023-06-23,31071,15313.7,3.4,98147,0.089,Decline,Discontinued
P0011,C001,Smartphone 11,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2022-11-10,10065,6067.76,3.4,6675,0.131,Growth,Discontinued
P0012,C001,Fitness Band 12,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-02-07,26216,14798.56,4.9,69852,0.045,Introduction,Active
P0013,C001,Smart Ring 13,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2026-01-18,43006,23741.58,3.7,21230,0.074,Mature,Active
P0014,C001,Fitness Band 14,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2024-02-05,41979,22649.07,4.3,80318,0.038,Growth,Active
P0015,C001,Smart Ring 15,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2023-05-09,33021,15052.39,4.8,40806,0.044,Introduction,Active
P0016,C001,Air Purifier 16,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2022-12-05,35911,24410.51,3.4,62796,0.143,Mature,Discontinued
P0017,C001,Bluetooth Speaker 17,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2025-08-23,48836,32083.31,4.4,52796,0.149,Mature,Discontinued
P0018,C001,Smart Ring 18,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2023-04-17,8930,4682.64,3.3,3257,0.092,Growth,Active
P0019,C001,Fitness Watch 19,Watches,Fitness Watch,Fitness Watch designed for modern consumers with practical features and reliable performance.,2022-05-26,42359,19809.7,3.3,4617,0.13,Growth,Active
P0020,C001,Air Purifier 20,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2023-05-13,36339,17794.97,4.8,75347,0.091,Decline,Discontinued
P0021,C001,Wireless Earbuds 21,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2026-02-02,7352,4761.85,3.8,54383,0.075,Introduction,Active
P0022,C001,Analog Watch 22,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-01-03,48724,26885.45,4.7,33091,0.037,Decline,Active
P0023,C001,Air Purifier 23,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2025-02-01,19254,11336.53,4.7,10380,0.072,Introduction,Active
P0024,C001,Fitness Band 24,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2024-09-12,7112,5176.9,4.6,22298,0.067,Growth,Discontinued
P0025,C001,Smart Watch 25,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-11-27,25836,11642.91,3.9,60138,0.05,Decline,Active
P0026,C001,Headphones 26,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2023-10-05,15267,11306.94,4.2,71566,0.019,Introduction,Active
P0027,C001,Smart Ring 27,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2022-06-14,33954,24644.36,4.1,7955,0.145,Growth,Active
P0028,C001,Fitness Band 28,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-05-02,45250,32061.7,3.9,75168,0.044,Introduction,Active
P0029,C001,Smart Light 29,Home Appliances,Smart Light,Smart Light designed for modern consumers with practical features and reliable performance.,2026-01-06,39251,24318.67,3.7,34679,0.039,Mature,Active
P0030,C001,Tablet 30,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-05-29,9577,6239.48,3.7,41941,0.14,Introduction,Discontinued
P0031,C001,Fitness Band 31,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2022-05-21,5801,3546.1,4.1,17861,0.141,Growth,Active
P0032,C001,Smartphone 32,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2025-09-01,29716,20804.87,4.4,80673,0.148,Introduction,Active
P0033,C001,Smart Watch 33,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2023-08-01,18332,8884.21,3.4,73012,0.032,Growth,Active
P0034,C001,Bluetooth Speaker 34,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2022-04-15,42565,30045.52,4.1,33414,0.137,Introduction,Discontinued
P0035,C001,Smartphone 35,Mobile,Smartphone,Smartphone designed for modern consumers with practical features and reliable performance.,2024-06-23,1232,677.68,3.4,34835,0.033,Decline,Active
P0036,C001,Smart Watch 36,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2022-10-31,46286,33380.47,4.1,48893,0.092,Decline,Active
P0037,C001,Analog Watch 37,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2023-03-07,24897,17918.23,4.6,5729,0.136,Growth,Active
P0038,C001,Tablet 38,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-12-29,41675,28124.09,4.8,31529,0.131,Decline,Active
P0039,C001,Bluetooth Speaker 39,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2023-05-24,22770,15590.98,3.9,88306,0.131,Mature,Active
P0040,C001,Analog Watch 40,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2023-04-12,3537,2502.7,3.6,60832,0.059,Growth,Active
P0041,C001,Headphones 41,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2024-11-09,22512,12011.97,3.3,37085,0.059,Decline,Active
P0042,C001,Smart Watch 42,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-05-06,18118,9123.69,4.8,35295,0.015,Decline,Active
P0043,C001,Tablet 43,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2022-04-01,40728,30353.39,3.4,76074,0.037,Decline,Active
P0044,C001,Fitness Band 44,Wearables,Fitness Band,Fitness Band designed for modern consumers with practical features and reliable performance.,2025-09-20,24869,14408.83,4.8,43779,0.097,Introduction,Active
P0045,C001,Smart Ring 45,Wearables,Smart Ring,Smart Ring designed for modern consumers with practical features and reliable performance.,2023-01-28,44705,25594.41,3.9,39252,0.088,Decline,Discontinued
P0046,C001,Bluetooth Speaker 46,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2023-03-07,38296,20690.75,4.1,553,0.053,Decline,Active
P0047,C001,Smart Fan 47,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2022-06-23,29977,19565.63,4.1,96963,0.034,Mature,Active
P0048,C001,Smart Watch 48,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2023-05-17,45092,24490.63,4.6,19813,0.013,Decline,Active
P0049,C001,Smart Fan 49,Home Appliances,Smart Fan,Smart Fan designed for modern consumers with practical features and reliable performance.,2023-05-15,42272,26322.83,4.4,50828,0.079,Growth,Active
P0050,C001,Analog Watch 50,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-02-15,15341,7712.93,4.8,68389,0.075,Growth,Active
P0051,C002,Air Purifier 51,Home Appliances,Air Purifier,Air Purifier designed for modern consumers with practical features and reliable performance.,2024-06-25,31450,20451.1,4.9,78547,0.054,Decline,Discontinued
P0052,C002,Bluetooth Speaker 52,Audio,Bluetooth Speaker,Bluetooth Speaker designed for modern consumers with practical features and reliable performance.,2024-12-03,32108,18783.85,4.5,84079,0.049,Decline,Active
P0053,C002,Tablet 53,Mobile,Tablet,Tablet designed for modern consumers with practical features and reliable performance.,2025-01-11,6077,4035.51,3.6,44520,0.055,Introduction,Active
P0054,C002,Wireless Earbuds 54,Audio,Wireless Earbuds,Wireless Earbuds designed for modern consumers with practical features and reliable performance.,2023-11-09,26102,17179.94,4.4,8918,0.068,Decline,Discontinued
P0055,C002,Smart Watch 55,Watches,Smart Watch,Smart Watch designed for modern consumers with practical features and reliable performance.,2025-03-25,28534,16174.3,4.5,91663,0.013,Decline,Discontinued
P0056,C002,Analog Watch 56,Watches,Analog Watch,Analog Watch designed for modern consumers with practical features and reliable performance.,2025-01-23,20569,13905.52,4.7,55421,0.085,Growth,Discontinued
P0057,C002,Headphones 57,Audio,Headphones,Headphones designed for modern consumers with practical features and reliable performance.,2024-04-08,29562,17609.86,3.9,88170,0.105,Growth,Discontinued
