review_id,company_id,product_id,customer_id,review_text,rating,review_date,verified_purchase
REV029839,C003,P0140,CUST08437,The design is attractive and the product feels durable.,5.0,2023-01-01,True
REV021635,C003,P0107,CUST00302,I am very satisfied with the performance.,4.0,2023-01-01,True
REV039245,C001,P0033,CUST04816,The product works perfectly and looks premium.,5.0,2023-01-01,True
REV008379,C002,P0067,CUST01608,The product is uncomfortable after long use.,2.0,2023-01-01,False
REV047696,C006,P0283,CUST09414,"Good performance, but the price is too high.",2.0,2023-01-01,True
REV047015,C006,P0299,CUST07559,The product works perfectly and looks premium.,4.0,2023-01-01,True
REV034656,C003,P0147,CUST09854,Excellent value for the price.,4.0,2023-01-01,True
REV023487,C003,P0108,CUST03878,It performs reasonably well.,3.0,2023-01-01,True
REV012657,C010,P0477,CUST09297,The battery life is disappointing.,2.0,2023-01-01,True
REV041421,C004,P0177,CUST07115,The design is attractive and the product feels durable.,5.0,2023-01-01,False
REV038106,C006,P0291,CUST07909,"Nothing special, but it gets the job done.",3.0,2023-01-01,True
REV011038,C003,P0129,CUST04057,"The quality is good, although the software needs improvement.",2.0,2023-01-01,True
REV049782,C001,P0024,CUST04258,The design is attractive and the product feels durable.,5.0,2023-01-01,False
REV009813,C004,P0166,CUST05511,I am very satisfied with the performance.,4.0,2023-01-01,True
REV014645,C008,P0365,CUST05767,Excellent value for the price.,5.0,2023-01-01,True
REV002981,C001,P0020,CUST00006,I am very satisfied with the performance.,4.0,2023-01-01,True
REV004818,C008,P0368,CUST03341,The product looks great but it could be more comfortable.,2.0,2023-01-01,True
REV032163,C002,P0090,CUST05943,Very good quality and easy to use.,4.0,2023-01-01,True
REV003954,C005,P0220,CUST07665,I really like this product. The design is excellent.,5.0,2023-01-01,True
REV039744,C006,P0262,CUST01494,Very good quality and easy to use.,5.0,2023-01-01,True
REV007729,C010,P0454,CUST05675,The product is okay and works as expected.,3.0,2023-01-01,True
REV037457,C010,P0500,CUST03476,I am very satisfied with the performance.,5.0,2023-01-01,True
REV026285,C001,P0019,CUST00032,The product feels too expensive for its quality.,1.0,2023-01-01,False
REV023255,C003,P0148,CUST00876,The product looks great but it could be more comfortable.,2.0,2023-01-01,True
REV025967,C006,P0254,CUST08912,The product works perfectly and looks premium.,5.0,2023-01-01,True
REV010448,C007,P0304,CUST04555,The product works perfectly and looks premium.,5.0,2023-01-01,False
REV048465,C010,P0471,CUST02239,The design is excellent but the battery life is poor.,3.0,2023-01-01,True
REV019660,C010,P0477,CUST06438,The design is attractive and the product feels durable.,5.0,2023-01-01,False
REV007377,C009,P0443,CUST01921,The product looks great but it could be more comfortable.,2.0,2023-01-01,False
REV013409,C007,P0349,CUST02309,"Nothing special, but it gets the job done.",3.0,2023-01-01,True
REV019721,C009,P0420,CUST07319,The design is attractive and the product feels durable.,4.0,2023-01-01,True
REV039735,C003,P0149,CUST06202,The quality is acceptable for the price.,3.0,2023-01-01,True
REV024464,C007,P0341,CUST06401,The quality could be much better.,1.0,2023-01-01,True
REV024208,C001,P0046,CUST03883,The design is attractive and the product feels durable.,5.0,2023-01-01,True
REV037063,C007,P0333,CUST08630,The quality could be much better.,1.0,2023-01-01,True
