survey_id,company_id,customer_id,survey_date,satisfaction_score,preferred_feature,purchase_factor,improvement_area,would_recommend
SRV000001,C008,CUST03494,2023-08-17,1,Lower price,Features,Comfort,No
SRV000002,C003,CUST04826,2023-07-29,9,Better performance,Durability,Battery life,Yes
SRV000003,C009,CUST02840,2023-07-11,4,Better design,Price,Comfort,No
SRV000004,C007,CUST09195,2025-05-09,4,Improved durability,Design,Battery life,No
SRV000005,C005,CUST07018,2023-11-23,7,More smart features,Design,Design,Yes
SRV000006,C007,CUST03300,2024-11-20,2,Better performance,Durability,Performance,No
SRV000007,C007,CUST09629,2024-12-05,10,Lower price,Price,Customer support,Yes
SRV000008,C004,CUST00318,2023-09-13,7,Better performance,Design,Price,Yes
SRV000009,C003,CUST01730,2024-01-29,2,Longer battery life,Features,Software,No
SRV000010,C008,CUST08361,2024-04-21,2,Better software,Design,Customer support,No
SRV000011,C003,CUST01139,2025-01-17,3,More smart features,Performance,Comfort,No
SRV000012,C005,CUST08824,2024-06-30,2,Improved comfort,Features,Design,No
SRV000013,C010,CUST04968,2025-02-16,5,Better design,Performance,Battery life,No
SRV000014,C008,CUST05821,2023-03-07,6,Better software,Design,Performance,No
SRV000015,C007,CUST00229,2024-10-06,4,Improved durability,Durability,Customer support,No
SRV000016,C005,CUST08865,2024-06-26,3,Better design,Design,Durability,No
SRV000017,C006,CUST08742,2025-03-28,6,Better design,Brand reputation,Customer support,No
SRV000018,C001,CUST06789,2023-04-07,2,Improved comfort,Brand reputation,Durability,No
SRV000019,C006,CUST09010,2023-05-11,7,Better software,Customer reviews,Software,Yes
SRV000020,C009,CUST07689,2023-01-24,2,Lower price,Performance,Performance,No
SRV000021,C002,CUST03745,2025-06-09,3,Improved durability,Price,Software,No
SRV000022,C010,CUST06104,2024-01-01,9,Better performance,Design,Comfort,Yes
SRV000023,C003,CUST02646,2025-02-04,3,Longer battery life,Performance,Customer support,No
SRV000024,C008,CUST06313,2023-08-18,6,Lower price,Features,Battery life,No
SRV000025,C005,CUST07756,2023-06-11,2,Improved durability,Quality,Design,No
SRV000026,C003,CUST08200,2025-08-31,9,Improved comfort,Design,Durability,Yes
SRV000027,C002,CUST02926,2024-02-16,5,Better software,Performance,Customer support,No
SRV000028,C009,CUST07978,2025-11-25,8,Better performance,Features,Comfort,Yes
SRV000029,C002,CUST05893,2024-11-23,1,Better design,Features,Battery life,No
SRV000030,C008,CUST01106,2023-05-01,4,Better performance,Price,Price,No
SRV000031,C007,CUST03909,2025-11-18,4,Lower price,Customer reviews,Comfort,No
SRV000032,C001,CUST09268,2023-09-28,10,Improved durability,Features,Customer support,Yes
SRV000033,C004,CUST01909,2025-04-13,4,Better performance,Quality,Durability,No
SRV000034,C002,CUST00099,2025-05-17,7,Improved durability,Price,Performance,Yes
SRV000035,C008,CUST08235,2025-04-04,6,Better performance,Features,Comfort,No
SRV000036,C002,CUST00440,2025-07-07,3,Better software,Brand reputation,Software,No
SRV000037,C004,CUST07796,2024-05-26,2,Improved durability,Quality,Battery life,No
SRV000038,C010,CUST04956,2023-01-31,2,Better design,Brand reputation,Durability,No
SRV000039,C005,CUST02028,2025-09-12,4,Better software,Price,Design,No
SRV000040,C007,CUST03237,2023-01-05,7,Lower price,Customer reviews,Software,Yes
SRV000041,C002,CUST00126,2025-09-23,3,Better design,Design,Comfort,No
SRV000042,C001,CUST09289,2023-05-05,6,Longer battery life,Price,Customer support,No
SRV000043,C008,CUST01212,2025-12-23,3,Longer battery life,Quality,Design,No
SRV000044,C010,CUST02809,2023-05-20,4,Better software,Quality,Comfort,No
SRV000045,C006,CUST02912,2023-03-23,10,Better performance,Durability,Price,Yes
SRV000046,C009,CUST07732,2024-06-18,4,More smart features,Features,Software,No
SRV000047,C008,CUST06422,2023-09-26,5,Improved durability,Performance,Performance,No
SRV000048,C004,CUST01024,2025-07-27,10,Better performance,Quality,Comfort,Yes
SRV000049,C006,CUST07755,2024-06-27,3,More smart features,Quality,Comfort,No
SRV000050,C001,CUST01371,2024-08-06,3,Improved durability,Design,Battery life,No
SRV000051,C007,CUST07377,2024-09-05,2,Improved comfort,Design,Performance,No
SRV000052,C005,CUST06495,2023-08-08,9,Improved comfort,Design,Software,Yes
SRV000053,C002,CUST08625,2024-03-07,6,Better design,Design,Customer support,No
SRV000054,C004,CUST06787,2023-04-15,2,Better software,Design,Battery life,No
SRV000055,C002,CUST02561,2024-11-14,3,Lower price,Brand reputation,Customer support,No
SRV000056,C002,CUST02548,2025-05-25,9,Longer battery life,Quality,Performance,Yes
SRV000057,C006,CUST05867,2023-11-02,9,Longer battery life,Performance,Design,Yes
SRV000058,C005,CUST07644,2023-09-19,1,Lower price,Performance,Battery life,No
SRV000059,C007,CUST05261,2025-01-02,4,Better design,Quality,Price,No
SRV000060,C006,CUST00728,2025-04-12,10,Improved comfort,Features,Design,Yes
SRV000061,C009,CUST06036,2023-12-29,7,Longer battery life,Brand reputation,Price,Yes
SRV000062,C009,CUST03908,2025-04-23,4,Lower price,Brand reputation,Performance,No
SRV000063,C004,CUST01386,2023-03-21,8,Better design,Features,Customer support,Yes
SRV000064,C006,CUST00835,2024-09-17,4,Better design,Price,Comfort,No
SRV000065,C006,CUST02446,2024-11-03,5,Better performance,Design,Price,No
SRV000066,C004,CUST05683,2025-11-09,7,More smart features,Price,Performance,Yes
SRV000067,C003,CUST01394,2024-06-18,3,Lower price,Price,Performance,No
SRV000068,C006,CUST07751,2025-06-08,6,More smart features,Durability,Performance,No
SRV000069,C010,CUST02503,2024-01-25,5,Longer battery life,Durability,Battery life,No
SRV000070,C010,CUST08746,2024-02-08,6,Better software,Quality,Price,No
SRV000071,C005,CUST02044,2024-10-04,2,Lower price,Design,Durability,No
SRV000072,C008,CUST03450,2025-04-04,5,Improved comfort,Features,Durability,No
SRV000073,C006,CUST07528,2025-02-15,3,Lower price,Durability,Battery life,No
SRV000074,C001,CUST04888,2024-08-10,4,Better software,Performance,Customer support,No
SRV000075,C004,CUST06803,2025-06-24,4,Improved durability,Brand reputation,Performance,No
SRV000076,C008,CUST07195,2025-11-21,10,More smart features,Quality,Comfort,Yes
SRV000077,C002,CUST03395,2024-09-27,4,Better design,Brand reputation,Battery life,No
SRV000078,C006,CUST03140,2024-05-16,8,Better performance,Customer reviews,Durability,Yes
SRV000079,C009,CUST03374,2024-02-03,7,Improved durability,Durability,Comfort,Yes
SRV000080,C002,CUST07259,2023-01-12,2,Better software,Features,Design,No
