product_id,product_name,category,subcategory,complaint_category,complaint_count,product_pain_score,demand_problem_score,market_gap_score,market_gap_level,opportunity_score,opportunity_level,opportunity_statement,opportunity_rank
P0473,Analog Watch 473,Watches,Analog Watch,battery,38,95.0,75.14,36.86,Moderate Market Gap,70.61,Strong Opportunity,Improve Watches products by addressing battery problems,1
P0341,Smart Watch 341,Watches,Smart Watch,battery,39,97.5,66.93,36.86,Moderate Market Gap,68.61,Strong Opportunity,Improve Watches products by addressing battery problems,2
P0273,Smart Ring 273,Wearables,Smart Ring,battery,35,87.5,76.86,35.35,Moderate Market Gap,68.13,Strong Opportunity,Improve Wearables products by addressing battery problems,3
P0239,Tablet 239,Mobile,Tablet,battery,40,100.0,61.06,36.43,Moderate Market Gap,67.3,Strong Opportunity,Improve Mobile products by addressing battery problems,4
P0198,Smart Ring 198,Wearables,Smart Ring,battery,36,90.0,71.82,35.35,Moderate Market Gap,67.24,Strong Opportunity,Improve Wearables products by addressing battery problems,5
P0111,Smartphone 111,Mobile,Smartphone,quality,37,92.5,67.48,36.43,Moderate Market Gap,66.92,Strong Opportunity,Improve Mobile products by addressing quality problems,6
P0477,Fitness Watch 477,Watches,Fitness Watch,battery,37,92.5,66.47,36.86,Moderate Market Gap,66.7,Strong Opportunity,Improve Watches products by addressing battery problems,7
P0293,Smart Fan 293,Home Appliances,Smart Fan,battery,33,82.5,76.51,36.23,Moderate Market Gap,66.52,Strong Opportunity,Improve Home Appliances products by addressing battery problems,8
P0419,Fitness Band 419,Wearables,Fitness Band,battery,33,82.5,76.83,35.35,Moderate Market Gap,66.37,Strong Opportunity,Improve Wearables products by addressing battery problems,9
P0051,Air Purifier 51,Home Appliances,Air Purifier,battery,36,90.0,68.27,36.23,Moderate Market Gap,66.26,Strong Opportunity,Improve Home Appliances products by addressing battery problems,10
P0225,Smart Fan 225,Home Appliances,Smart Fan,quality,34,85.0,72.85,36.23,Moderate Market Gap,66.12,Strong Opportunity,Improve Home Appliances products by addressing quality problems,11
P0492,Smart Ring 492,Wearables,Smart Ring,battery,33,82.5,74.93,35.35,Moderate Market Gap,65.71,Strong Opportunity,Improve Wearables products by addressing battery problems,12
