complaint_id,company_id,product_id,customer_id,complaint_category,complaint_text,priority,status,complaint_date
CMP033066,C009,P0405,CUST05911,price,The price does not seem justified.,High,Resolved,2023-01-01
CMP001403,C005,P0203,CUST04107,delivery,The delivery process was disappointing.,Medium,Open,2023-01-01
CMP006142,C002,P0058,CUST07010,software,The application frequently crashes.,Medium,Open,2023-01-01
CMP011544,C008,P0390,CUST02174,battery,I have to charge the product too frequently.,High,Open,2023-01-01
CMP003919,C010,P0452,CUST03582,software,The application frequently crashes.,Medium,Closed,2023-01-01
CMP034664,C004,P0176,CUST04322,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-01
CMP036768,C003,P0120,CUST08876,performance,The performance has become inconsistent.,Medium,Resolved,2023-01-01
CMP040327,C005,P0207,CUST04041,price,The price does not seem justified.,High,Resolved,2023-01-01
CMP004217,C006,P0267,CUST03684,quality,The product stopped working properly after a short time.,High,Open,2023-01-01
CMP009967,C002,P0062,CUST03338,performance,The product performance is not as expected.,Low,Closed,2023-01-01
CMP018688,C009,P0403,CUST04945,software,The software is difficult to use.,High,Closed,2023-01-01
CMP007124,C007,P0336,CUST02071,price,I expected better quality at this price.,Low,In Progress,2023-01-01
CMP037184,C008,P0387,CUST04215,battery,Battery life is much lower than expected.,Low,Resolved,2023-01-01
CMP027546,C007,P0310,CUST08531,battery,The battery drains very quickly.,Medium,Resolved,2023-01-01
CMP027603,C007,P0341,CUST08368,price,The price does not seem justified.,High,Resolved,2023-01-01
CMP049598,C002,P0085,CUST01551,comfort,The product needs a more comfortable design.,Medium,Closed,2023-01-01
CMP008032,C006,P0277,CUST08868,battery,The battery drains very quickly.,Medium,Resolved,2023-01-01
CMP017894,C004,P0177,CUST07821,price,I expected better quality at this price.,High,Resolved,2023-01-01
CMP019991,C010,P0493,CUST03461,quality,The product quality is disappointing.,Low,Closed,2023-01-01
CMP032011,C008,P0370,CUST04444,battery,The battery drains very quickly.,High,Closed,2023-01-01
CMP027803,C003,P0127,CUST08627,delivery,My order arrived late.,Medium,Resolved,2023-01-01
CMP049345,C002,P0054,CUST09509,price,I expected better quality at this price.,Low,Resolved,2023-01-01
